task	iteration	phase	ts	triggerTokens	maxInputTokens	targetTokens	messageTargetTokens	tokensBefore	tokensAfter	messagesBefore	messagesAfter	overshoot_tokensBefore_minus_trigger	raw_json
telegram-plugin-refactor	6	started	2026-08-30T17:07:26.188Z	26100	29000	18270	14633						{"type": "notice", "noticeType": "status", "displayRole": "status", "message": "auto-compacting", "reason": "auto_compaction", "metadata": {"kind": "auto_compaction", "reason": "auto_compaction", "phase": "started", "iteration": 6, "triggerTokens": 26100, "targetTokens": 18270, "maxInputTokens": 29000, "messageTargetTokens": 14633}}
telegram-plugin-refactor	6	completed	2026-08-30T17:07:35.891Z	26100	29000			38626	49750	16	16	12526	{"type": "notice", "noticeType": "status", "displayRole": "status", "message": "auto-compacted", "reason": "auto_compaction", "metadata": {"kind": "auto_compaction", "reason": "auto_compaction", "phase": "completed", "iteration": 6, "tokensBefore": 38626, "tokensAfter": 49750, "messagesBefore": 16, "messagesAfter": 16, "maxInputTokens": 29000}}
v-edit-workspace-tests	8	started	2026-08-30T17:19:52.413Z	26100	29000	18270	14633						{"type": "notice", "noticeType": "status", "displayRole": "status", "message": "auto-compacting", "reason": "auto_compaction", "metadata": {"kind": "auto_compaction", "reason": "auto_compaction", "phase": "started", "iteration": 8, "triggerTokens": 26100, "targetTokens": 18270, "maxInputTokens": 29000, "messageTargetTokens": 14633}}
v-edit-workspace-tests	8	completed	2026-08-30T17:20:04.469Z	26100	29000			28009	48554	16	16	1909	{"type": "notice", "noticeType": "status", "displayRole": "status", "message": "auto-compacted", "reason": "auto_compaction", "metadata": {"kind": "auto_compaction", "reason": "auto_compaction", "phase": "completed", "iteration": 8, "tokensBefore": 28009, "tokensAfter": 48554, "messagesBefore": 16, "messagesAfter": 16, "maxInputTokens": 29000}}
v-edit-workspace-tests	9	started	2026-08-30T17:20:58.181Z	26100	29000	18270	14633						{"type": "notice", "noticeType": "status", "displayRole": "status", "message": "auto-compacting", "reason": "auto_compaction", "metadata": {"kind": "auto_compaction", "reason": "auto_compaction", "phase": "started", "iteration": 9, "triggerTokens": 26100, "targetTokens": 18270, "maxInputTokens": 29000, "messageTargetTokens": 14633}}
v-edit-workspace-tests	9	skipped	2026-08-30T17:20:58.181Z	26100	29000								{"type": "notice", "noticeType": "status", "displayRole": "status", "message": "auto-compaction-skipped", "reason": "auto_compaction", "metadata": {"kind": "auto_compaction", "reason": "auto_compaction", "phase": "skipped", "iteration": 9, "maxInputTokens": 29000}}
v-edit-workspace-tests	10	started	2026-08-30T17:21:57.224Z	26100	29000	18270	14633						{"type": "notice", "noticeType": "status", "displayRole": "status", "message": "auto-compacting", "reason": "auto_compaction", "metadata": {"kind": "auto_compaction", "reason": "auto_compaction", "phase": "started", "iteration": 10, "triggerTokens": 26100, "targetTokens": 18270, "maxInputTokens": 29000, "messageTargetTokens": 14633}}
v-edit-workspace-tests	10	skipped	2026-08-30T17:21:57.225Z	26100	29000								{"type": "notice", "noticeType": "status", "displayRole": "status", "message": "auto-compaction-skipped", "reason": "auto_compaction", "metadata": {"kind": "auto_compaction", "reason": "auto_compaction", "phase": "skipped", "iteration": 10, "maxInputTokens": 29000}}
v-edit-workspace-tests	11	started	2026-08-30T17:23:37.032Z	26100	29000	18270	14633						{"type": "notice", "noticeType": "status", "displayRole": "status", "message": "auto-compacting", "reason": "auto_compaction", "metadata": {"kind": "auto_compaction", "reason": "auto_compaction", "phase": "started", "iteration": 11, "triggerTokens": 26100, "targetTokens": 18270, "maxInputTokens": 29000, "messageTargetTokens": 14633}}
v-edit-workspace-tests	11	skipped	2026-08-30T17:23:37.033Z	26100	29000								{"type": "notice", "noticeType": "status", "displayRole": "status", "message": "auto-compaction-skipped", "reason": "auto_compaction", "metadata": {"kind": "auto_compaction", "reason": "auto_compaction", "phase": "skipped", "iteration": 11, "maxInputTokens": 29000}}
v-edit-workspace-tests	12	started	2026-08-30T17:24:38.943Z	26100	29000	18270	14634						{"type": "notice", "noticeType": "status", "displayRole": "status", "message": "auto-compacting", "reason": "auto_compaction", "metadata": {"kind": "auto_compaction", "reason": "auto_compaction", "phase": "started", "iteration": 12, "triggerTokens": 26100, "targetTokens": 18270, "maxInputTokens": 29000, "messageTargetTokens": 14634}}
v-edit-workspace-tests	12	skipped	2026-08-30T17:24:38.944Z	26100	29000								{"type": "notice", "noticeType": "status", "displayRole": "status", "message": "auto-compaction-skipped", "reason": "auto_compaction", "metadata": {"kind": "auto_compaction", "reason": "auto_compaction", "phase": "skipped", "iteration": 12, "maxInputTokens": 29000}}
