task_id	arm	alias	rep	exit_code	duration_s	prompt_tokens	completion_tokens	finish_reason	verdict	qualifier	extracted_answer	expected	stream_path	requests_this_cell	running_total	max_tokens	retried
01	A	flashnext	1	0	15	5588	160	stop	correct		8	8	phase-11/results/20260902T062649Z-ab-main/streams/01-A-r1.ndjson	1	1	20851	no
01	A	flashnext	2	0	14	5588	160	stop	correct		8	8	phase-11/results/20260902T062649Z-ab-main/streams/01-A-r2.ndjson	1	2	20851	no
01	A	flashnext	3	0	14	5588	160	stop	correct		8	8	phase-11/results/20260902T062649Z-ab-main/streams/01-A-r3.ndjson	1	3	20851	no
01	A	flashnext	4	0	14	5588	160	stop	correct		8	8	phase-11/results/20260902T062649Z-ab-main/streams/01-A-r4.ndjson	1	4	20851	no
01	A	flashnext	5	0	14	5588	160	stop	correct		8	8	phase-11/results/20260902T062649Z-ab-main/streams/01-A-r5.ndjson	1	5	20851	no
01	C	flashnext-plan	1	0	17	5450	269	stop	correct		8	8	phase-11/results/20260902T062649Z-ab-main/streams/01-C-r1.ndjson	1	6	20851	no
01	C	flashnext-plan	2	0	18	5450	269	stop	correct		8	8	phase-11/results/20260902T062649Z-ab-main/streams/01-C-r2.ndjson	1	7	20851	no
01	C	flashnext-plan	3	0	21	5450	269	stop	correct		8	8	phase-11/results/20260902T062649Z-ab-main/streams/01-C-r3.ndjson	1	8	20851	no
01	C	flashnext-plan	4	0	18	5450	269	stop	correct		8	8	phase-11/results/20260902T062649Z-ab-main/streams/01-C-r4.ndjson	1	9	20851	no
01	C	flashnext-plan	5	0	18	5450	269	stop	correct		8	8	phase-11/results/20260902T062649Z-ab-main/streams/01-C-r5.ndjson	1	10	20851	no
02	A	flashnext	1	0	13	5575	74	stop	correct		60	60	phase-11/results/20260902T062649Z-ab-main/streams/02-A-r1.ndjson	1	11	20873	no
02	A	flashnext	2	0	12	5575	74	stop	correct		60	60	phase-11/results/20260902T062649Z-ab-main/streams/02-A-r2.ndjson	1	12	20873	no
02	A	flashnext	3	0	13	5575	74	stop	correct		60	60	phase-11/results/20260902T062649Z-ab-main/streams/02-A-r3.ndjson	1	13	20873	no
