seq	label	requests_this_step	running_total	cap
1	01-A-r1	1	1	88
2	01-A-r2	1	2	88
3	01-A-r3	1	3	88
4	01-A-r4	1	4	88
5	01-A-r5	1	5	88
6	01-C-r1	1	6	88
7	01-C-r2	1	7	88
8	01-C-r3	1	8	88
9	01-C-r4	1	9	88
10	01-C-r5	1	10	88
11	02-A-r1	1	11	88
12	02-A-r2	1	12	88
13	02-A-r3	1	13	88
14	02-A-r4	1	14	88
15	02-A-r5	1	15	88
16	02-C-r1	1	16	88
17	02-C-r2	1	17	88
18	02-C-r3	1	18	88
19	02-C-r4	1	19	88
20	02-C-r5	1	20	88
21	03-A-r1	1	21	88
22	03-A-r2	1	22	88
23	03-A-r3	1	23	88
24	03-A-r4	1	24	88
25	03-A-r5	1	25	88
26	03-C-r1	1	26	88
27	03-C-r2	1	27	88
28	03-C-r3	1	28	88
29	03-C-r4	1	29	88
30	03-C-r5	1	30	88
31	04-A-r1	1	31	88
32	04-A-r2	1	32	88
33	04-A-r3	1	33	88
34	04-A-r4	1	34	88
35	04-A-r5	1	35	88
36	04-C-r1	1	36	88
37	04-C-r2	1	37	88
38	04-C-r3	1	38	88
39	04-C-r4	1	39	88
40	04-C-r5	1	40	88
41	05-A-r1	2	42	88
42	05-A-r2	3	45	88
43	05-A-r3	2	47	88
44	05-A-r4	2	49	88
45	05-A-r5	2	51	88
46	05-C-r1	2	53	88
47	05-C-r2	2	55	88
48	05-C-r3	2	57	88
49	05-C-r4	2	59	88
50	05-C-r5	2	61	88
51	06-A-r1	2	63	88
52	06-A-r2	2	65	88
53	06-A-r3	2	67	88
54	06-A-r4	2	69	88
55	06-A-r5	2	71	88
56	06-C-r1	1	72	88
57	06-C-r2	1	73	88
58	06-C-r3	1	74	88
59	06-C-r4	1	75	88
60	06-C-r5	1	76	88
61	07-A-r1	3	79	88
62	07-A-r2	2	81	88
63	07-A-r3	2	83	88
64	07-A-r4	2	85	88
65	07-A-r5	2	87	88
66	07-C-r1	1	88	88
ABORT	budget-cap-reached	0	88	88
